nl	en	de	fr	es	cs	hu	pl	sk	it
Uw gegevens zijn correct gewijzigd. De volgende keer kunt u hiermee inloggen. Maak uw keuze uit ons hoofdmenu.	Your account details are correctly saved. Next time you can login with these. Make a choice from the mainmenu.	Ihre Kontodaten werden korrekt gespeichert. Das nächste Mal können Sie sich mit diesen anmelden. Treffen Sie Ihre Auswahl aus dem Hauptmenü.	Vos coordonnées ont été changées de façon correcte. La prochaine fois, vous pouvez vous enregistrer avec les nouvelles données. Faites votre choix dans le menu principal.	Sus detalles de la cuenta se guardan correctamente. La próxima vez que puede iniciar sesión con éstos. Hacer una elección de la mainmenu.	Údaje vašeho účtu uloženy správně. Příště se můžete přihlásit s nimi. Udělat výběr z menu Startovní.	A fiók adatait helyesen menti. Legközelebb akkor be ezeket. Hogy a választás a főmenü.	Dane konta są poprawnie zapisane. Następnym razem możesz zalogować się z nimi. Dokonać wyboru z mainmenu.	Údaje vášho účtu uložené správne. Nabudúce sa môžete prihlásiť s nimi. Urobiť výber z menu Štartovací.	I dati dell'account siano correttamente salvati. La prossima volta che può effettuare il login con questi. Effettuare una scelta dal mainmenu.
Uw opdracht wordt verwerkt, even geduld a.u.b.	Your action is in progress, please wait...	Ihr Auftrag wird bearbeitet, bitte warten Sie...	Votre commande est traité....	Su acción está en curso, por favor espere ...	Vaše akce probíhá, čekejte prosím ...	Az akció van folyamatban, kérem várjon ...	Twoje działanie jest w toku, proszę czekać ...	Vaša akcia prebieha, čakajte prosím ...	La vostra azione è in corso, attendere prego ...
van	from	von	de	de	od	 	od	od	di
van de	of the	von die	du	del	z	 	od, z	od	di
Van uw kaart wordt een bedrag van	Your card will be charged with an amount of	Van ihre Karte wirt ein betrag von	Le montant crédité de votre carte est	Su tarjeta será cargada con una cantidad de	V nákupním košíku z?stala ?ástka	A következ? összeget emelik le a kártyájáról:	Z karty zostanie potr?cona kwota	Z vašej karty bola suma vo výške	Viene addebitato sulla vostra carta un importo di
Verbruik	Consumption	Verbrauch	Consommation	Consumo	Spotřeba	Fogyasztás	Konsumpcja	Spotreba	Consumo
Vergeten	Forgotten	Vergessen	Oublié	Olvidado	Zapomenutý	Elfelejtett	Zapomniany	zabudnutý	Forgotten
Verkoper:	Salesman:	Verkäufer:	Délégué:	Vendedor:	Prodavač:	Eladó:	Sprzedawca:	predavač:	Venditore:
Vernieuw	Refresh	Anpassen	Renouveler	Refrescar	Obnovit	Frissítés	Odświeżać	Obnoviť	ricaricare
Verpakt per:	Packed per:	Verpackt pro:	Emballé par:	Embalado por:	Baleno:	Csomagolási egység:	Opakowanie zawiera:	Balené po:	Confezionato per:
Verplicht in te voeren	Entry required	Pflichteingabe	A saisir obligatoirement	entrada obligatoria	Vstup požadované	megadása szükséges	Wejście wymagane	vstup požadovanej	voce desiderata
Versie:	Version:	Version:	Version:	Versión:	Verze:	Változat:	Wersja:	verzia:	Versione:
Verstuur	Submit	Versenden	Envoyer	Enviar	Zaslat	Küldés	Zatwierdź	Odošli	Invia
Verwerken van de gegevens...	Processing...	Verarbeitung der Datei...	Traitement des données	Tratamiento...	Zpracování údaj?:	Az adatok feldolgozása folyamatban van...	Przetwarzanie danych...	Spracovanie údajov...	Dati in elaborazione...
Verwijder	Remove	Entfernen	Enlever	retirar	Odstranit	eltávolít	Usunąć	odstrániť	Rimuovere
Verwijder steunkleur	Remove spotcolor	Entferne HKS-Farben	Enlever couleur support	Retire spotcolor	Odstranit p?ímou barvu	Segédszín törlése	Usuń spotcolor	odstráňte spotcolor	Rimuovi colore supplementare
Verzendwijze	Delivery method	Versandweise	Mode d'envoi	Método de entrega	Zp?sob zaslání	Küldési mód	Sposób wys?ania	Spôsob odoslania	Modalità di invio
Verzendwijze:	Deliverymethod:	Versandart:	Mode d'envoie:	Método de entrega:	Způsob doručení:	Szállítási mód:	Sposób dostawy:	Spôsob doručenia:	Metodo di consegna:
Voeg toe	Add	Füge hinzu	Ajouter	Añadir	Přidat	Hozzáadás	Dodaj	Pridaj	Aggiungi
Volgende	Next	Nächste	Suivant	Siguiente	Další	Következő	Nast?pne	Nasledujúci	Seguente
voor uw artikel order. U ontvangt binnenkort een orderbevestiging. Maak uw keuze uit ons hoofdmenu.	for your article job. You will soon receive a confirmation. Make a choice from the mainmenu.	von Ihrem Auftrag. Sie bekommen eine Bestätigung. Wählen Sie aus dem Hauptmenü.	pour votre commande d'articles. Vous recevez bientôt une confirmation de commande. Faîtes votre choix dans le menu.	para el trabajo de artículo. En breve recibirá una confirmación. Hacer una elección de la mainmenu.	pro vaši objednávku artiklu. Brzy obdržíte potvrzení objednávky. Vyberte si v hlavním menu.	megrendelését illet?en. Megrendelésér?l hamarosan visszajelzést kap. Válasszon a f?menüb?l.	za zamówienie artyku?u. Nied?ugo otrzymasz potwierdzenie zamówienia. Dokonaj wyboru z menu g?ównego.	pre vašu objednávku tovaru. Onedlho vám bude doru?ené potvrdenie objednávky. Vyberte si z nášho hlavného menu.	per il vostro ordine. Riceverete presto una conferma dell'ordine. Selezionate un'opzione dal nostro menu principale.
voor uw bericht. U ontvangt binnenkort een reactie. Maak uw keuze uit ons hoofdmenu.	for your message. You will soon receive a reaction. Make a choice from the mainmenu.	für Ihren Bericht. Sie erhalten in Kürze eine Bestätigung.	pour votre message. Vous recevez bientôt une réaction. Faîtes votre choix dans le menu.	para su mensaje. En breve recibirá una reacción. Hacer una elección de la mainmenu.	na zprávu. Brzy obdržíte reakci. Vyberte si v hlavním menu.	az üzenetét illet?en. Hamarosan visszajelzést kap. Válasszon a f?menüb?l.	za wiadomo??. Nied?ugo otrzymasz odpowied?. Dokonaj wyboru z menu g?ównego.	pre vašu správu. Onedlho vám bude doru?ená odpove?. Vyberte si z nášho hlavného menu.	per il vostro messaggio. Riceverete presto una risposta. Selezionate un'opzione dal nostro menu principale.
voor uw bestelling. De betaling is mislukt. Wij zullen spoedig met u contact opnemen. Maak uw keuze uit ons hoofdmenu.	for your order. Payment has failed. We will contact you.  Make a choice from the mainmenu.	für Ihre Bestellung. Die Bezahlung ist nicht gelungen. Sie bekommen in Kürze einen Bericht von uns.	pour votre commande. Le paiement est mal traité. Nous prenons contact avec vous. Faîtes votre choix dans le menu.	para su pedido. El pago ha fallado. Nos pondremos en contacto con usted. Hacer una elección de la mainmenu.	na vaši objednávku. Platba se nezda?ila. Budeme vás co nejd?íve kontaktovat. Vyberte si v hlavním menu.	megrendelését illet?en. A fizetés sikertelen. Rövid id?n belül felvesszük a kapcsolatot Önnel. Válasszon a f?menüb?l.	za zamówienie. Zap?ata nie powiod?a si?. Skontaktujemy si? z Tob? jak najszybciej. Dokonaj wyboru z menu g?ównego.	pre vašu objednávku. Platba neprebehla úspešne. ?oskoro vás budeme kontaktova?. Vyberte si z nášho hlavného menu.	per la vostra prenotazione. Il pagamento non è andato a buon fine. Provvederemo a contattarvi al più presto. Selezionate un'opzione dal nostro menu principale.
voor uw bestelling. U heeft uw betaling afgebroken. Wij zullen spoedig met u contact opnemen. Maak uw keuze uit ons hoofdmenu.	for your order. You stop the payment. We will contact you.  Make a choice from the mainmenu.	für Ihre Bestellung. Sie erhalten in Kürze eine Bestätigung.	pour votre commande. Le paiement est interrompu. Nous prenons contact avec vous. Faîtes votre choix dans le menu.	para su pedido. Se detiene el pago. Nos pondremos en contacto con usted. Hacer una elección de la mainmenu.	na vaši objednávku. P?erušili jste provedení platby. Budeme vás co nejd?íve kontaktovat. Vyberte si v hlavním menu.	megrendelését illet?en. Megszakította a fizetési folyamatot. Rövid id?n belül felvesszük a kapcsolatot Önnel. Válasszon a f?menüb?l.	za zamówienie. Operacja zap?aty zosta?a przerwana. Skontaktujemy si? z Tob? jak najszybciej. Dokonaj wyboru z menu g?ównego.	pre vašu objednávku. Prerušili ste platbu. ?oskoro vás budeme kontaktova?. Vyberte si z nášho hlavného menu.	per la vostra prenotazione. Il pagamento è stato interrotto. Provvederemo a contattarvi al più presto. Selezionate un'opzione dal nostro menu principale.
voor uw bestelling. U ontvangt binnenkort een reactie. Maak uw keuze uit ons hoofdmenu.	for your order. You will soon receive a reaction. Make a choice from the mainmenu.	für Ihre Bestellung. Sie erhalten in Kürze eine Bestätigung.	pour votre commande. Vous recevez bientôt une réaction. Faîtes votre choix dans le menu.	para su pedido. En breve recibirá una reacción. Hacer una elección de la mainmenu.	na vaši objednávku. Brzy obdržíte reakci. Vyberte si v hlavním menu.	megrendelését illet?en. Hamarosan visszajelzést kap. Válasszon a f?menüb?l.	za zamówienie. Nied?ugo otrzymasz odpowied?. Dokonaj wyboru z menu g?ównego.	pre vašu objednávku. Onedlho vám bude doru?ená odpove?. Vyberte si z nášho hlavného menu.	per la vostra prenotazione. Riceverete presto una risposta. Selezionate un'opzione dal nostro menu principale.
voor uw bestelling. Uw betaling is geslaagd. U ontvangt binnenkort uw bestelde artikelen. Maak uw keuze uit ons hoofdmenu.	for your order. Payment is confirmed. You will soon receive the articles. Make a choice from the mainmenu.	für Ihre Bestellung. Die Bezahlung ist gut.	pour votre commande. Paiement réussi. Vous recevez bientôt vos articles. Faîtes votre choix dans le menu.	para su pedido. El pago se confirma. En breve recibirá los artículos. Hacer una elección de la mainmenu.	na vaši objednávku. Platba prob?hla úsp?šn?. Brzy obdržíte objednané zboží. Vyberte si v hlavním menu.	megrendelését illet?en. A fizetés sikerült. Hamarosan megkapja a megrendelt árucikkeket. Válasszon a f?menüb?l.	za zamówienie. Operacja zap?aty powiod?a si?. Nied?ugo otrzymasz zamówione artyku?y. Dokonaj wyboru z menu g?ównego.	pre vašu objednávku. Platba prebehla úspešne. ?oskoro vám doru?íme objednaný tovar. Vyberte si z nášho hlavného menu.	per la vostra prenotazione. Il pagamento è andato a buon fine. Riceverete presto gli articoli ordinati. Selezionate un'opzione dal nostro menu principale.
voor uw offerte aanvraag. U ontvangt binnenkort een offerte. Maak uw keuze uit ons hoofdmenu.	for your quotation. You will soon recieve a response. Make a choice from the mainmenu.	für Ihre Anfrage. Sie erhalten in Kürze ein Angebot.	pour votre demande de prix. Vous recevez bientôt une offre. Faîtes votre choix dans le menu.	para su cotización. Usted pronto recibirá una respuesta. Hacer una elección de la mainmenu.	na žádost o cenovou nabídku. Brzy obdržíte nabídku. Vyberte si v hlavním menu.	árajánlat kérését illet?en. Hamarosan árajánlatot kap. Válasszon a f?menüb?l.	za zapytanie ofertowe. Wkrótce otrzymasz ofert?. Dokonaj wyboru z menu g?ównego.	pre vašu žiados? o ponuku. Onedlho vám bude doru?ená ponuka. Vyberte si z nášho hlavného menu.	per la vostra richiesta di offerta. Riceverete presto un'offerta. Selezionate un'opzione dal nostro menu principale.
voor uw order. U ontvangt binnenkort een orderbevestiging. Maak uw keuze uit ons hoofdmenu.	for your job. You will soon receive a confirmation. Make a choice from the mainmenu.	von Ihrem Auftrag. Sie bekommen eine Bestätigung. Wählen Sie aus dem Hauptmenü.	pour votre commande. Vous recevez bientôt une confirmation de commande. Faîtes votre choix dans le menu.	para su trabajo. En breve recibirá una confirmación. Hacer una elección de la mainmenu.	na vaši objednávku. Brzy obdržíte potvrzení objednávky. Vyberte si v hlavním menu.	megrendelését illet?en. Megrendelésér?l hamarosan visszajelzést kap. Válasszon a f?menüb?l.	za zamówienie. Nied?ugo otrzymasz potwierdzenie zamówienia. Dokonaj wyboru z menu g?ównego.	pre vašu objednávku. Onedlho vám bude doru?ené potvrdenie objednávky. Vyberte si z nášho hlavného menu.	per il vostro ordine. Riceverete presto una conferma dell'ordine. Selezionate un'opzione dal nostro menu principale.
voor uw toevoeging aan de winkelwagen. Maak uw keuze uit ons hoofdmenu.	for adding to shoppingcard. Make a choice from the mainmenu.	von Ihrer Übernahme in den Warenkorb. Wählen Sie aus dem Hauptmenü.	pour votre addition votre caddie. Faîtes votre choix dans le menu.	para añadir a shoppingcard. Hacer una elección de la mainmenu.	pro p?idání do nákupního košíku. Vyberte si v hlavním menu.	a bevásárlókocsi tartalmának kiegészítését illet?en. Válasszon a f?menüb?l.	za dodanie do koszyka. Dokonaj wyboru z menu g?ównego.	pre pridanie do nákupného košíka. Vyberte si z nášho hlavného menu.	per aver aggiunto prodotti nel carrello. Selezionate un'opzione dal nostro menu principale.
voor uw voorraad order. U ontvangt binnenkort een orderbevestiging. Maak uw keuze uit ons hoofdmenu.	for stock job. You will soon receive a confirmation. Make a choice from the mainmenu.	von Ihrem Vorratsauftrag. Sie bekommen eine Bestätigung. Wählen Sie aus dem Hauptmenü.	pour votre commande de stock. Vous recevez bientôt une confirmation de commande. Faîtes votre choix dans le menu.	para el empleo stock. En breve recibirá una confirmación. Hacer una elección de la mainmenu.	na vaši objednávku ze zásob. Brzy obdržíte potvrzení objednávky. Vyberte si v hlavním menu.	raktárkészleti megbízását illet?en. Megrendelésér?l hamarosan visszajelzést kap. Válasszon a f?menüb?l.	za zamówienie zapasów. Nied?ugo otrzymasz potwierdzenie zamówienia. Dokonaj wyboru z menu g?ównego.	pre vašu objednávku zásob. Onedlho vám bude doru?ené potvrdenie objednávky. Vyberte si z nášho hlavného menu.	per il vostro ordine dal magazzino. Riceverete presto una conferma dell'ordine. Selezionate un'opzione dal nostro menu principale.
voor uw web2print opdracht. U ontvangt binnenkort een orderbevestiging. Maak uw keuze uit ons hoofdmenu.	for web2print job. You will soon receive a confirmation. Make a choice from the mainmenu.	von Ihrem web2print Auftrag. Sie bekommen eine Bestätigung. Wählen Sie aus dem Hauptmenü.	pour votre carte de visite. Vous recevez bientôt une confirmation de commande. Faîtes votre choix dans le menu.	para el trabajo web2print. En breve recibirá una confirmación. Hacer una elección de la mainmenu.	na váš p?íkaz web2print. Brzy obdržíte potvrzení objednávky. Vyberte si v hlavním menu.	a web2print megrendelését illet?en. Megrendelésér?l hamarosan visszajelzést kap. Válasszon a f?menüb?l.	za zamówienie web2print. Nied?ugo otrzymasz potwierdzenie zamówienia. Dokonaj wyboru z menu g?ównego.	pre vaše zadanie web2print. Onedlho vám bude doru?ené potvrdenie objednávky. Vyberte si z nášho hlavného menu.	per il vostro incarico web2print. Riceverete presto una conferma dell'ordine. Selezionate un'opzione dal nostro menu principale.
Voorbeeld	Preview	Vorschau	Prévisualisation	Avance	Náhled	Példa	Przyk?ad	Príklad	Esempio
Voorraad	Stock	Vorrat	Gestion stock	Valores	Zásoby	Raktárkészlet	Zapas	Sklad	Magazzino
Voorraad:	Stock:	Vorrat:	Stock:	Valores:	Sklad:	Magazzino:	Zásoby:	Raktárkészlet:	Zapas:
Voortgang	Progress	Statusreport	l'avancement	Progreso	Pokrok	Haladás	Post?p	Pokrok	Progresso
Vorige	Previous	Zurück	Précéd	Anterior	Předchozí	Előző	Poprzednie	Predchádzajúci	Precedente
Vorige sessie:	Last session:	Vorherige Session:	Dernière session:	Última sesión:	Poslední zasedání:	Legutóbbi ülésén:	Poprzednia sesja:	Predchádzajúca akcia:	Sessione precedente:
Vul hier onderin uw email adres in en wij zullen uw aanmeldgegevens naar dit adres versturen.	Enter below your email address and we will submit your account details.	Geben Sie unten Ihre E-Mail-Adresse ein und wir werden Ihre Kontodaten übermitteln.	Remplissez votre adresse email ci-dessous et nous enverrons vos données d'enregistrement à cette adresse	Introduzca su dirección de correo electrónico y vamos a presentar detalles de su cuenta.	Zadejte pod e-mailovou adresu a budeme předkládat údaje o účtu.	Adja meg az alábbi e-mail címét, és mi fog nyújtani a fiók adatait.	Wpisz poniżej swój adres e-mail, a my przedstawić szczegóły konta.	Zadajte pod e-mailovú adresu a budeme predkladať údaje o účte.	Inserisci qui sotto il tuo indirizzo email e ci presenterà i dettagli del conto.
Vul hier uw bedrijfsgegevens in:	Enter your company details here:	Geben Sie hier Ihre Firmendaten ein:	Remplissez vos données de société:	Introduzca sus datos de la empresa aquí:	Zadejte své firemní údaje:	Adja meg vállalatának adatait:	Wpisz tu dane przedsi?biorstwa:	Zadajte vaše firemné údaje:	Siete pregati di inserire i dati della vostra azienda:
Vul hier uw kaartgegevens in. Let op dat dit een beveiligde SSL verbinding is. Dit kunt u herkennen aan het slotje in uw browser. Het controle getal vind op op de achterkant van de kaart. Dit zijn de laatste 3 cijfers.	Enter your creditcard details. Make sure this is a secured SSL connection. You can recognize this with the locksign in browser. You can find the controle number at the backside of the card. These are the last 3 digits.	Geben Sie Ihre Kartedaten ein. Pass auf diese ist eine kontrollierte SSL-Verbindung. Sie können dies mit der Locksign im Browser erkennen. Die Anzahl der Controle finden Sie auf der Rückseite der Karte. Dies sind die letzten drei Ziffern.	Remplissez vos données de cartes de crédit. Attention, il vous faut une connection sécurisé SSL. Le n° de controle se trouve a l'arrière de votre carte. (Les 3 dernière chiffres)	Introduzca sus datos de Tarjeta de crédito. Asegúrese de que esto es una conexión SSL segura. Se puede reconocer esto con el locksign en el navegador. Puede encontrar el número controle en la parte trasera de la tarjeta. Estos son los 3 últimos dígitos.	Dopl?te zde nákupní údaje. Upozor?ujeme, že se jedná o zabezpe?ené p?ipojení SSL. M?žete si toho všimnout díky zámku, který se objeví v prohlíže?i. Kontrolní po?et se zobrazí na zadní ?ásti nákupního košíku. Jedná se o poslední 3 ?ísla.	Adja meg kártyájának adatait: Figyelem! Ez egy biztonságos SSL összeköttetés. Ezt a böngész? ablakában is láthatja. Az ellen?z? szám a kártya hátoldalán található. Ez az utolsó 3 számjegy.	Wpisz tu dane karty. Upewnij si?, ?e jest to zabezpieczone po??czenie SSL. Poznasz je po znaczku k?ódki w przegl?darce internetowej. Liczba kontrolna znajduje si? na odwrocie karty. S? to 3 ostatnie cyfry.	Zadajte údaje z vašej karty. Skontrolujte, ?i ste bezpe?ne pripojení cez SSL. Spoznáte to pod?a k?ú?ika v okne prehliada?a. Kontrolné ?íslo nájdete na zadnej strane vašej karty. Ide o posledné 3 ?íslice.	Siete pregati di inserire i dati della vostra carta. Siete in presenza di una connessione protetta SSL che potete riconoscere dal lucchetto nel vostro browser. Il numero di controllo si trova sul retro della carta ed è costituito dalle ultime 3 cifre.
Vul hieronder in het kort uw vraag in.	Enter below your question.	Gib hier eine kurze Frage ein:	Remplissez votre question	Introduzca a continuación su pregunta.	Níže v krátkosti položte dotaz.	Az alábbiakban röviden írja le kérdését.	Wpisz krótkie pytanie.	V krátkosti zadajte svoju otázku.	Siete pregati di inserire di seguito la vostra breve domanda.
Waarschuwing	Warning	Achtung	Attention	Advertencia	Varování	Figyelmeztetés	Ostrze?enie	Varovanie	Avvertimento
waarvan	from which	deren	dont	a partir del cual	který	 	z czego	z ktorých	dei quali
Wachtwoord:	Password:	Kennwort:	Mot de passe:	Contraseña:	Heslo:	Jelszó:	Hasło:	Heslo:	Password:
Web2Print	Web2Print	Web2Print	Web2Print	Web2Print	Web2Print	Web2Print	Web2Print	Web2Print	Web2Print
Webdesign	Webdesign	Webdesign	Webdesign	Diseño web	Webový design	Web design	Projektowanie stron	Vzhľad stránky	Web design
Webwinkel	Webshop	Webshop	Webshop	tienda online	Internetový obchod	Webáruház	sklep internetowy	internetový obchod	webshop
Welkom	Welcome	Herzlich Willkommen	Bienvenue	Bienvenido	Vítejte	Üdvözöljük!	Witamy	Vitajte	Benvenuti
Wij danken u voor deze offerte en zullen hem met zorg uitrekenen.	We thank you for this quotation and we will handle it with care.	Vielen Dank für diesen Angebote. Wir werden ihn sorgfältig bearbeiten.	Nous vous remercions pour cette calcul et la traiterons avec soin	Te damos gracias por esta cita y vamos a manejarlo con cuidado.	Děkujeme vám za tuto citaci a budeme s ní zacházet opatrně.	Mi köszönjük ezt az idézetet, és mi kezelje körültekintően.	Dziękujemy za ten cytat i będziemy obsługiwać go z rozwagą.	Ďakujeme vám za túto citáciu a budeme s ňou zaobchádzať opatrne.	Vi ringraziamo per questa citazione e noi tratteremo con cura.
Wij danken u voor deze opdracht en zullen hem met zorg uitvoeren.	We thank you for this job and we will handle it with care.	Vielen Dank für diesen Auftrag. Wir werden ihn sorgfältig bearbeiten.	Nous vous remercions pour cette commande et la traiterons avec soin	Te damos gracias por este trabajo y vamos a manejarlo con cuidado.	Děkujeme vám za tuto práci a budeme s ní zacházet opatrně.	Mi köszönjük ezt a munkát, és mi kezelje körültekintően.	Dziękujemy za tę pracę i będziemy obsługiwać go z rozwagą.	Ďakujeme vám za túto prácu a budeme s ňou zaobchádzať opatrne.	Vi ringraziamo per questo lavoro e lo tratteremo con cura.
Wij hebben uw aanmeldgegevens aangepast. Om in te loggen op ons systeem dient u de volgende gegevens te gebruiken.	We changed your account details. To login into our system please use the following details.	Wir haben Ihre Kontodaten geändert. Um sich in unser System einzuloggen benutzen Sie bitte folgende Angaben.	Nous avons adapté vos données d'enregistrement. Veuillez utiliser les données suivantes pour vous enregistrer sur notre système.	Cambiamos detalles de su cuenta. Para iniciar sesión en nuestro sistema por favor utilice los siguientes detalles.	Změnili jsme své údaje o účtu. Pro přihlášení do našeho systému použijte prosím následující údaje.	Mi változott meg fiókjának adatait. Bejelentkezéshez rendszerünkbe, kérjük használja az alábbi adatokat.	Zmieniliśmy szczegóły konta. Aby zalogować się do naszego systemu należy stosować następujące szczegóły.	Zmenili sme svoje údaje o účte. Pre prihlásenie do nášho systému použite prosím nasledujúce údaje.	Abbiamo cambiato i dettagli dell'account. Per accedere nel nostro sistema si prega di utilizzare i seguenti dati.
Wij zullen deze order afleveren op het volgende adres:	We will submit this order to the following address:	Wir werden die Bestellung an folgende Anschrift schicken:	La commande sera livrée à l'adresse suivante:	Vamos a presentar este orden a la siguiente dirección:	Budeme předkládat tuto objednávku na adresu:	Akkor benyújtja ezt annak érdekében, hogy a következő címre:	Będziemy wysyłać ten porządek na następujący adres:	Budeme predkladať túto objednávku na adresu:	Trasmetteremo il presente ordine al seguente indirizzo:
Wijzig	Modify	Ändern	Modifier	Modificar	Modifikovat	Módosít	Modyfikować	modifikovať	Modificare
Wijzig hieronder uw aanmeldgegevens en klik op verstuur om de aanpassing te activeren.	Please enter below your new account details and press sumbit to confirm.	Bitte geben Sie nachfolgend Ihre neuen Kontodaten ein und bestätigen diese.	Changez vos coordonnées ci-dessous et cliquez sur 'envoyer' pour confirmer le changement	Entre más abajo de su nueva cuenta y pulse Sumbit para confirmar.	Níže zadejte nové podrobnosti účtu a stiskněte sumbit pro potvrzení.	Kérjük, adja meg az alábbi új fiók adatait, és nyomja Submit gombot.	w celu potwierdzenia, wpisz poniżej swój nowych danych konta i naciśnij przesłanie.	Nižšie zadajte nové podrobnosti účtu a stlačte sumbit pre potvrdenie.	per confermare Inserisci qui sotto i tuoi nuovi dettagli dell'account e premere il tasto procedi.
Winkelwagen	Shopping cart	Warenkorb	Votre caddie	Tarjeta de compras	Nákupní košík	Bevásárlókocsi	Koszyk	Nákupný košík	Carrello
Wis	Delete	Löschen	Effacer	Borrar	Vymazat	Töröl	Kasować	Vymaž	Cancella
XML of TAB Bestand	XML or TAB file	XML oder TAB Datei	Fichier XML ou TAB	XML o TAB archivo	XML soubor nebo TAB	XML vagy TAB fájlban	Plik XML lub TAB	XML súbor alebo TAB	file XML o TAB
Zeker weten?	Are you sure?	Sind Sie sicher?	Êtes-vous certain ?	¿Estás seguro?	Jsi si jistá?	biztos vagy ebben?	Jesteś pewny?	Si si istý?	Sei sicuro?
Zet om naar	Convert to	Konvertiert nach	Transforme	Convertir a	převést	Változtatás a következ?re:	Konwertuj na	previesť	Fattura a
Zoek	Search	Suche	Chercher	Buscar	Vyhledat	Keresés	Szukaj	Vyhľadanie	Cerca
Zoekvenster archief orders	Search window filed jobs	Suchdialog Archivaufträge	Ecran de recherche jobs	ventana de búsqueda presentada empleos	Vyhledávací okno archivu objednávek	Keresés ablak benyújtott munkák	Okno wyszukiwania w zamówieniach archiwalnych	Vyhľadávanie okno podal pracovných miest	Finestra di ricerca archivio ordini
Zoekvenster offertes	Search window quotations	Suchdialog Angeboten	Ecran de recherche devis	Buscar citas ventana	Vyhledávací okno nabídek	Keresés ablak idézetek	Okno wyszukiwania w ofertach	Vyhľadávanie okenné citáty	Finestra di ricerca offerte
Zwart	Black	Schwarz	Noir	Negro	Černý	Fekete	Czarny	čierna	Nero
Zwart/Wit	Black/White	Schwarz/Weiß	Noir et blanc	Negro / blanco	Černá bílá	Fekete-fehér	Czarny biały	Čierna biela	Nero bianco
Bestand(en) uploaden (nog) niet mogelijk.	File(s) uploading not (yet) possible	Datei-Upload (noch) nicht möglich!	Téléchargement des fichiers pas (encore) possible.	Archivo (s) de subir (aún) no es posible	Soubor (y) nahráním (zatím) možné	Fájl (ok) feltöltése (még) nem lehetséges	File (s), nie przesyłając (jeszcze) możliwe	Súbor (y) nahraním (zatiaľ) možné	File (s) caricare non è (ancora) possibile
Aanleveren bestanden	Delivery files	Zu sendende Dateien	Livraison des fichiers	los archivos de entrega	Dodací soubory	szállítási fájlok	pliki dostawy	Dodacie súbory	file di consegna
Vervaldatum:	Expiration date:	Ablauf-Datum:	Date d'expiration:	Fecha de caducidad:	Datum spotřeby:	Lejárati dátum:	Termin ważności:	Dátum spotreby:	Data di scadenza:
Bewaar	Save	Speicher	Sauver	Salvar	Uložit	Mentés	Zapisać	uložiť	Salvare
Soort	Type	Sorte	Genre	Tipo	Typ	típus	Rodzaj	typ	Digitare
Dochter	Descendant	Tochter	Filles	Descendiente	Potomek	Leszármazott	Potomek	potomok	Discendente
tot	until	bis	à	hasta	až do	amíg	aż do	kým	fino a
Info	Info	Info	Info	información	Informace	Info	Informacje	Info	Informazioni
Open	Open	Öffnen	Ouvrir	Abierto	OTEVŘENO	Nyisd ki	otwarty	Otvorený	aperto
Geen selectie	No selection	Keine selection	Aucune sélection	Sin selección	žádný výběr	nincs kiválasztás	Brak wyboru	žiadny výber	nessuna selezione
Expeditienummer:	Expeditionnumber:	Sendungsnummer:	Nombre expéditeur:	Expeditionnumber:	Expeditionnumber:	Expeditionnumber:	Expeditionnumber:	Expeditionnumber:	Expeditionnumber:
Magazijn:	Warehouse:	Lager:	Magazin:	Almacén:	Sklad:	Raktár:	Magazyn:	sklad:	Magazzino:
Magazijn	Warehouse	Lager	Magasin	Almacén	Sklad	Raktár	Magazyn	sklad	Magazzino
Locatie	Location	Plätze	Location	Ubicación	Umístění	Elhelyezkedés	Lokalizacja	umiestnenie	luogo
Reservering:	Reservations:	Reservierungen:	Réservations:	Reservas:	výhrady:	fenntartások:	Rezerwacje:	výhrady:	Prenotazioni:
Gemaakt door:	Made by:	Erstellt durch:	Fait par:	Hecho por:	Vytvořil:	Készítette:	Zrobione przez:	Vytvorené:	Fatto da:
Object:	Object:	Objekt:	Objet:	Objeto:	Objekt:	Tárgy:	Obiekt:	objekt:	Oggetto:
Lengte:	Length:	Länge:	Longueur:	Longitud:	Délka:	Hossz:	Długość:	Dĺžka:	Lunghezza:
U dient een lengte in te geven	You must enter a length	Sie müssen eine Länge eingeben	Vous devez rentrer une longueur	Debe introducir una longitud	Je třeba zadat délku	Meg kell adnia a hossza	Musisz podać długość	Je potrebné zadať dĺžku	È necessario immettere una lunghezza
U dient een formaat in te geven	You must enter a size	Sie müssen eine Format eingeben	Vous devez rentrer un format	Debe introducir un tamaño	Je nutné zadat velikost	Meg kell adnia egy méret	Musisz podać rozmiar	Je nutné zadať veľkosť	È necessario immettere una dimensione
Eenheidsgewicht:	Unit weight:	Einheitsgewicht:	Poids unitaire:	Unidad de peso:	Jednotková hmotnost:	Egység súlya:	Waga jednostkowa:	Hmotnosť jednotky:	Unità di peso:
Download	Download	Herunterladen	Télécharger	Descargar	Ke stažení	Letöltés	Pobieranie	Stiahnuť	Scaricare
Aantal soorten:	Number of versions:	Anzahl Sorten:	combien de types :						
Afwijkend factuuradres	Different invoiceaddress	 Andere Rechnungsadresse	Adresse de facturation non standard						
Goedkeuring:	Approving:	Zustimmung:	agrément						
Afgekeurd	Rejected	Abgelehnt	Refusé						
OK	OK	OK	OK						
